participant,block,trial,stim,wght,resp,reversal,isswitch,isrepeat
1,2,1,1,3,1,0,NaN,NaN
1,2,2,1,3,1,0,0,1
1,2,3,1,1,1,0,0,1
1,2,4,1,2,1,0,0,1
1,2,5,1,1,1,0,0,1
1,2,6,1,2,1,0,0,1
1,2,7,1,3,NaN,0,1,0
1,2,8,1,2,-1,0,1,0
1,2,9,1,1,-1,0,0,1
1,2,10,-1,1,-1,1,0,1
1,2,11,-1,1,-1,0,0,1
1,2,12,-1,2,-1,0,0,1
1,2,13,-1,2,-1,0,0,1
1,2,14,-1,3,-1,0,0,1
1,2,15,-1,2,-1,0,0,1
1,2,16,-1,3,-1,0,0,1
1,2,17,-1,2,-1,0,0,1
1,2,18,-1,2,1,0,1,0
1,2,19,-1,1,NaN,0,1,0
1,2,20,-1,2,-1,0,1,0
1,2,21,-1,1,1,0,1,0
1,2,22,1,2,1,1,0,1
1,2,23,1,1,1,0,0,1
1,2,24,1,3,1,0,0,1
1,2,25,1,1,1,0,0,1
1,2,26,1,2,1,0,0,1
1,2,27,1,3,1,0,0,1
1,2,28,-1,1,-1,1,1,0
1,2,29,-1,3,-1,0,0,1
1,2,30,-1,3,-1,0,0,1
1,2,31,-1,1,-1,0,0,1
1,2,32,-1,3,-1,0,0,1
1,2,33,-1,1,-1,0,0,1
1,2,34,1,3,1,1,1,0
1,2,35,1,2,1,0,0,1
1,2,36,1,1,1,0,0,1
1,2,37,1,2,-1,0,1,0
1,2,38,1,3,1,0,1,0
1,2,39,1,2,-1,0,1,0
1,2,40,-1,3,-1,1,0,1
1,2,41,-1,3,-1,0,0,1
1,2,42,-1,3,-1,0,0,1
1,2,43,-1,3,-1,0,0,1
1,2,44,-1,2,-1,0,0,1
1,2,45,-1,2,-1,0,0,1
1,2,46,1,2,1,1,1,0
1,2,47,1,1,1,0,0,1
1,2,48,1,1,1,0,0,1
1,2,49,1,3,1,0,0,1
1,2,50,1,3,1,0,0,1
1,2,51,1,1,1,0,0,1
1,2,52,1,2,1,0,0,1
1,2,53,1,2,1,0,0,1
1,2,54,1,3,1,0,0,1
1,2,55,1,1,1,0,0,1
1,2,56,1,1,-1,0,1,0
1,2,57,1,1,-1,0,0,1
1,2,58,1,2,-1,0,0,1
1,2,59,1,1,-1,0,0,1
1,2,60,1,2,-1,0,0,1
1,2,61,1,2,-1,0,0,1
1,2,62,-1,1,-1,1,0,1
1,2,63,-1,3,-1,0,0,1
1,2,64,-1,1,-1,0,0,1
1,2,65,-1,3,-1,0,0,1
1,2,66,-1,1,-1,0,0,1
1,2,67,-1,2,-1,0,0,1
1,2,68,-1,1,-1,0,0,1
1,2,69,-1,3,-1,0,0,1
1,2,70,1,2,1,1,1,0
1,2,71,1,2,1,0,0,1
1,2,72,1,1,1,0,0,1
1,2,73,1,3,1,0,0,1
1,2,74,1,3,1,0,0,1
1,2,75,-1,3,1,1,0,1
1,2,76,-1,2,1,0,0,1
1,2,77,-1,3,-1,0,1,0
1,2,78,-1,2,-1,0,0,1
1,2,79,-1,1,-1,0,0,1
1,2,80,-1,1,-1,0,0,1
1,4,1,-1,1,-1,0,NaN,NaN
1,4,2,-1,3,1,0,1,0
1,4,3,-1,3,1,0,0,1
1,4,4,-1,1,1,0,0,1
1,4,5,-1,3,1,0,0,1
1,4,6,-1,2,1,0,0,1
1,4,7,1,2,1,1,0,1
1,4,8,1,1,1,0,0,1
1,4,9,1,3,1,0,0,1
1,4,10,1,3,1,0,0,1
1,4,11,1,1,1,0,0,1
1,4,12,1,2,1,0,0,1
1,4,13,1,1,1,0,0,1
1,4,14,1,1,1,0,0,1
1,4,15,1,1,1,0,0,1
1,4,16,1,3,1,0,0,1
1,4,17,1,2,-1,0,1,0
1,4,18,-1,1,-1,1,0,1
1,4,19,-1,3,-1,0,0,1
1,4,20,-1,3,-1,0,0,1
1,4,21,-1,3,-1,0,0,1
1,4,22,-1,1,-1,0,0,1
1,4,23,-1,2,-1,0,0,1
1,4,24,-1,1,1,0,1,0
1,4,25,1,2,1,1,0,1
1,4,26,1,2,1,0,0,1
1,4,27,1,2,1,0,0,1
1,4,28,1,1,1,0,0,1
1,4,29,1,2,1,0,0,1
1,4,30,1,3,1,0,0,1
1,4,31,1,1,-1,0,1,0
1,4,32,1,3,1,0,1,0
1,4,33,-1,1,1,1,0,1
